product_id,sku,product_name,category_id,brand,unit_price,cost_price,stock_quantity,weight_kg,is_active,created_at
1,SKU-01-0001,AutoEdge Piston Kit,1,AutoEdge,25.02,10.48,114,3.57,1,2020-05-19 00:00:00
2,SKU-01-0002,AutoEdge Crankshaft,1,AutoEdge,387.5,138.7,47,5.54,1,2020-01-07 00:00:00
3,SKU-01-0003,NovaDrive Connecting Rod,1,NovaDrive,136.44,69.92,279,10.55,1,2020-03-12 00:00:00
4,SKU-01-0004,MotorPro Camshaft,1,MotorPro,495.39,193.16,216,8.57,1,2020-03-27 00:00:00
5,SKU-01-0005,AutoEdge Cylinder Head,1,AutoEdge,68.44,25.61,433,8.66,1,2020-01-12 00:00:00
6,SKU-01-0006,SpeedCore Engine Block,1,SpeedCore,352.71,209.26,193,2.06,1,2020-06-09 00:00:00
7,SKU-01-0007,ApexParts Valve Cover,1,ApexParts,576.56,253.92,98,17.64,1,2020-02-28 00:00:00
8,SKU-01-0008,TurboTech Oil Pan,1,TurboTech,640.52,361.14,443,2.61,1,2020-06-11 00:00:00
9,SKU-01-0009,PeakEngine Timing Cover,1,PeakEngine,113.25,49.7,343,6.75,1,2020-06-14 00:00:00
10,SKU-01-0010,AutoEdge Rocker Arm,1,AutoEdge,399.44,156.89,373,6.2,1,2020-03-10 00:00:00
11,SKU-01-0011,NovaDrive Lifter Kit,1,NovaDrive,149.76,64.56,393,19.42,1,2020-01-09 00:00:00
12,SKU-01-0012,PeakEngine Engine Mount,1,PeakEngine,266.14,97.55,467,23.58,1,2020-03-21 00:00:00
13,SKU-01-0013,PrimeMech Harmonic Balancer,1,PrimeMech,429.13,192.64,468,16.11,1,2020-02-05 00:00:00
14,SKU-01-0014,PrimeMech Flywheel,1,PrimeMech,486.53,235.84,382,14.66,1,2020-04-12 00:00:00
15,SKU-01-0015,PeakEngine Flexplate,1,PeakEngine,149.57,89.65,260,12.39,1,2020-01-29 00:00:00
16,SKU-01-0016,DriveForce Push Rod,1,DriveForce,411.18,225.33,216,14.95,1,2020-06-01 00:00:00
17,SKU-01-0017,SpeedCore Wrist Pin,1,SpeedCore,348.15,206.37,440,23.57,1,2020-01-30 00:00:00
18,SKU-01-0018,NovaDrive Piston Ring Set,1,NovaDrive,490.3,265.82,174,2.88,1,2020-04-26 00:00:00
19,SKU-01-0019,MotorPro Engine Rebuild Kit,1,MotorPro,620.39,352.98,134,24.3,1,2020-05-09 00:00:00
20,SKU-01-0020,AutoEdge Short Block Assembly,1,AutoEdge,566.99,240.75,327,12.74,1,2020-04-05 00:00:00
